Deg,Baseline,Optimized ,Enhanced 
0,0.3,0.4,0
0,0.1,0.2,0.1
0,0,0.2,0.1
0,0.1,0.4,0.1
0,0.1,0,0.2
0,0,0.1,0.1
0,0.1,0,0.2
0,0.2,0.2,0
0,0.2,0.1,0
0,0.4,0.2,0.1
15,0.2,0.2,0
15,0.2,0.3,0.1
15,0.1,0.4,0
15,0.3,0.3,0.1
15,0.1,0.2,0.2
15,0,0,0.2
15,0.2,0.2,0
15,0.1,0.1,0.2
15,0.4,0.2,0.1
15,0.2,0.2,0
30,0.3,0.1,0.2
30,0.1,0,0.1
30,0.1,0.2,0.2
30,0.4,0.3,0
30,0.2,0.2,0.1
30,0.2,0.1,0.1
30,0.2,0.1,0
30,0.1,0.3,0.1
30,0.3,0.3,0.1
30,0.3,0.2,0.1
45,0.1,0.3,0
45,0.2,0.1,0
45,0.1,0.2,0.1
45,0.2,0.2,0
45,0.3,0.3,0.1
45,0.1,0.1,0.2
45,0.3,0,0.1
45,0.2,0.1,0
45,0.2,0.2,0
45,0.1,0.3,0.1
60,0.5,0.1,0.1
60,0.4,0.2,0.2
60,0.2,0.2,0.1
60,,0.2,0.1
60,0.3,0.3,0
60,0.7,0,0.2
60,0.3,0.2,0
60,,0.1,0.1
60,0.6,0.1,0
60,0.3,0.2,0.1
75,,0.3,0
75,,0.1,0
75,,0,0.2
75,,0.3,0.1
75,,0.1,0.1
75,,0.4,0.1
75,,0.2,0.2
75,,0.1,0
75,,0.2,0.1
75,,0.1,0
90,,0.7,0.3
90,,0.6,0.4
90,,0.5,0.3
90,,1,0.2
90,,0.7,0.4
90,,0.3,0.5
90,,0.5,0.3
90,,,0.1
90,,0.4,0.3
90,,0.8,0.2
