Deg,DN2,DN3,DN4,BUMP1,BUMP2
45,7036,6404,5796,2116,2748
45,7068,6440,5800,2160,2752
45,7100,6444,5796,2160,2784
45,7104,6448,5836,2160,2792
45,7104,6456,5840,2168,2792
45,7108,6480,5832,2168,2788
45,7108,6472,5832,2160,2788
45,7108,6476,5832,2160,2784
45,7132,6480,5840,2168,2792
45,7136,6472,5840,2164,2788
40,7280,6728,6140,2120,2788
40,7316,6760,6184,2160,2820
40,7340,6768,6184,2116,2828
40,7332,6800,6188,2164,2828
40,7348,6796,6188,2160,2828
40,7348,6796,6184,2160,2824
40,7364,6804,6220,2160,2832
40,7356,6804,6224,2164,2828
40,7360,6808,6224,2164,2832
40,7356,6804,6220,2164,2832
35,7592,7124,6536,2160,2868
35,7608,7152,6548,2164,2876
35,7608,7160,6580,2160,2912
35,7640,7164,6584,2164,2908
35,7636,7164,6584,2160,2916
35,7656,7164,6576,2164,2908
35,7664,7164,6584,2128,2912
35,7644,7160,6588,2160,2912
35,7668,7192,6584,2160,2916
35,7644,7192,6588,2160,2912
30,7780,7404,6860,2144,2980
30,7772,7372,6852,2116,2912
30,7780,7408,6860,2124,2908
30,7784,7408,6892,2116,2912
30,7780,7404,6892,2116,2908
30,7804,7404,6884,2116,2908
30,7788,7420,6900,2124,2952
30,7792,7448,6900,2116,2952
30,7816,7412,6900,2116,2952
30,7812,7440,6896,2116,2948
25,7892,7628,7132,2076,2944
25,7948,7636,7176,2120,2948
25,7960,7668,7176,2116,2988
25,7960,7668,7208,2116,2952
25,7960,7672,7208,2116,2948
25,7964,7676,7212,2116,2988
25,7992,7680,7212,2116,2992
25,7992,7704,7184,2116,2988
25,7996,7696,7212,2116,2984
25,7996,7696,7212,2116,2992
20,7860,7624,7200,2076,2904
20,7896,7660,7236,2072,2932
20,7936,7668,7244,2072,2948
20,7912,7696,7236,2068,2944
20,7916,7708,7240,2116,2952
20,7948,7712,7276,2116,2952
20,7944,7708,7272,2116,2948
20,7948,7712,7276,2116,2948
20,7948,7704,7284,2116,2952
20,7944,7728,7276,2076,2944
15,7728,7484,7120,2032,2860
15,7720,7528,7160,2028,2900
15,7720,7552,7160,2028,2900
15,7736,7552,7160,2028,2900
15,7740,7556,7160,2028,2900
15,7744,7560,7192,2024,2892
15,7776,7560,7196,2072,2900
15,7744,7560,7196,2032,2900
15,7752,7568,7200,2028,2900
15,7748,7564,7196,2024,2900
10,7728,7484,7120,2032,2860
10,7720,7528,7160,2028,2900
10,7720,7552,7160,2028,2900
10,7736,7552,7160,2028,2900
10,7740,7556,7160,2028,2900
10,7744,7560,7192,2024,2892
10,7776,7560,7196,2072,2900
10,7744,7560,7196,2032,2900
10,7752,7568,7200,2028,2900
10,7748,7564,7196,2024,2900
5,7568,7464,7148,1980,2856
5,7596,7492,7180,1980,2856
5,7628,7524,7188,1984,2856
5,7628,7516,7184,1984,2856
5,7640,7532,7200,2032,2900
5,7644,7540,7192,2028,2904
5,7640,7536,7228,2028,2900
5,7664,7524,7220,1980,2888
5,7664,7532,7224,1984,2896
5,7660,7528,7224,1984,2900
0,7424,7344,7036,1940,2812
0,7460,7380,7068,1940,2812
0,7480,7376,7072,1980,2808
0,7496,7380,7072,1980,2816
0,7488,7384,7080,1984,2856
0,7496,7384,7112,1980,2856
0,7500,7392,7112,1984,2852
0,7500,7408,7104,1980,2816
0,7496,7416,7112,1984,2852
0,7496,7416,7112,1984,2816
-5,7364,7304,7024,1932,2804
-5,7360,7304,7032,1936,2804
-5,7396,7316,7068,1936,2812
-5,7428,7348,7068,1936,2812
-5,7432,7352,7080,1980,2852
-5,7444,7356,7080,1980,2856
-5,7432,7352,7076,1980,2848
-5,7436,7356,7084,1980,2856
-5,7444,7384,7104,1976,2848
-5,7436,7380,7108,1936,2852
-10,7288,7208,6964,1904,2772
-10,7300,7244,6996,1932,2808
-10,7324,7240,7000,1936,2804
-10,7328,7272,7000,1936,2812
-10,7336,7280,7000,1936,2808
-10,7340,7280,7008,1940,2852
-10,7332,7280,7004,1936,2852
-10,7344,7292,7008,1936,2852
-10,7360,7280,7008,1940,2852
-10,7364,7284,7032,1936,2812
-15,7304,7252,7008,1932,2848
-15,7336,7284,7040,1936,2852
-15,7348,7292,7052,1984,2884
-15,7340,7288,7072,1936,2852
-15,7348,7296,7052,1984,2900
-15,7356,7296,7084,1980,2888
-15,7352,7324,7080,1936,2892
-15,7356,7324,7072,1936,2852
-15,7380,7324,7080,1940,2892
-15,7384,7328,7080,1984,2856
-20,7036,7008,6824,1892,2800
-20,7072,7044,6864,1936,2812
-20,7080,7052,6868,1936,2852
-20,7080,7092,6868,1936,2852
-20,7116,7084,6904,1936,2852
-20,7108,7080,6896,1928,2844
-20,7116,7084,6896,1936,2844
-20,7112,7084,6900,1936,2844
-20,7116,7084,6904,1936,2852
-20,7116,7088,6904,1940,2852
-25,6868,6880,6720,1892,2808
-25,6912,6884,6760,1892,2848
-25,6912,6920,6764,1896,2848
-25,6912,6920,6764,1896,2848
-25,6916,6924,6796,1896,2848
-25,6916,6924,6800,1896,2848
-25,6920,6928,6800,1932,2888
-25,6944,6956,6788,1896,2844
-25,6944,6952,6792,1892,2848
-25,6936,6948,6788,1892,2840
-30,6600,6636,6572,1848,2844
-30,6648,6680,6620,1880,2876
-30,6652,6688,6624,1892,2844
-30,6644,6704,6616,1892,2844
-30,6648,6708,6620,1888,2840
-30,6652,6712,6624,1892,2848
-30,6656,6720,6624,1892,2888
-30,6676,6712,6620,1896,2848
-30,6680,6720,6652,1892,2848
-30,6680,6716,6656,1892,2848
-35,6280,6324,6296,1796,2792
-35,6320,6356,6292,1848,2796
-35,6328,6372,6344,1848,2800
-35,6316,6360,6332,1848,2796
-35,6324,6368,6336,1848,2804
-35,6324,6392,6340,1848,2804
-35,6324,6392,6340,1848,2804
-35,6356,6396,6328,1848,2804
-35,6356,6396,6368,1836,2792
-35,6364,6400,6336,1848,2804
-40,6328,6336,6348,1852,2848
-40,6332,6340,6348,1848,2844
-40,6368,6376,6340,1848,2840
-40,6368,6376,6340,1848,2844
-40,6360,6372,6336,1848,2844
-40,6360,6368,6332,1832,2828
-40,6364,6376,6384,1848,2844
-40,6368,6380,6344,1848,2844
-40,6364,6376,6384,1848,2844
-40,6396,6404,6368,1848,2844
-45,5748,5820,5912,1744,2780
-45,5752,5856,5944,1748,2792
-45,5764,5864,5952,1756,2832
-45,5764,5864,5952,1760,2796
-45,5796,5868,5952,1760,2796
-45,5768,5868,5956,1760,2836
-45,5800,5868,5956,1756,2832
-45,5796,5864,5956,1752,2828
-45,5796,5872,5960,1752,2836
-45,5800,5872,5960,1760,2836
