Deg,DN2,DN3,DN4,BUMP1,BUMP2
45,7540,6988,6864,6240,5892
45,7516,6964,6840,6152,5872
45,7524,6968,6844,6184,5836
45,7540,6968,6844,6184,5836
45,7552,6976,6852,6192,5884
45,7560,7008,6888,6200,5884
45,7560,6976,6884,6228,5876
45,7580,7008,6884,6192,5880
45,7580,7004,6880,6192,5876
45,7568,7008,6888,6200,5880
40,7588,7108,6988,5984,5828
40,7624,7124,7032,5996,5832
40,7640,7136,7040,6040,5884
40,7656,7164,7040,6036,5880
40,7664,7168,7076,6040,5876
40,7644,7172,7048,6044,5920
40,7672,7176,7080,6076,5880
40,7672,7172,7072,6068,5872
40,7676,7172,7076,6076,5880
40,7672,7172,7080,6076,5884
35,8080,7632,7564,6068,6120
35,8064,7672,7604,6100,6152
35,8092,7700,7608,6096,6148
35,8096,7704,7612,6148,6160
35,8100,7704,7640,6144,6156
35,8108,7716,7652,6144,6196
35,8104,7716,7652,6140,6192
35,8108,7736,7644,6140,6232
35,8136,7736,7644,6140,6192
35,8136,7736,7644,6140,6192
30,8076,7816,7780,5868,6084
30,8116,7828,7796,5916,6132
30,8128,7864,7828,5964,6136
30,8136,7876,7844,5964,6180
30,8136,7876,7844,5960,6220
30,8176,7868,7880,6008,6224
30,8160,7868,7836,5964,6176
30,8160,7872,7840,5964,6176
30,8168,7908,7868,5960,6176
30,8168,7908,7876,5964,6176
25,8436,8264,8304,6012,6436
25,8412,8236,8280,5960,6344
25,8432,8236,8276,5964,6340
25,8444,8248,8288,5956,6384
25,8448,8276,8288,5964,6380
25,8452,8284,8296,5964,6388
25,8448,8252,8292,6008,6388
25,8460,8280,8320,6008,6384
25,8448,8280,8292,6008,6384
25,8456,8288,8328,6008,6388
20,8436,8260,8360,5784,6292
20,8428,8300,8400,5828,6332
20,8432,8336,8404,5828,6332
20,8436,8340,8408,5868,6372
20,8436,8332,8408,5828,6372
20,8464,8336,8436,5868,6372
20,8468,8340,8440,5828,6372
20,8452,8380,8424,5876,6380
20,8468,8372,8440,5872,6372
20,8480,8384,8456,5872,6384
15,8372,8340,8436,5680,6268
15,8416,8352,8452,5736,6316
15,8424,8356,8460,5736,6320
15,8424,8360,8460,5736,6324
15,8420,8388,8484,5740,6320
15,8424,8392,8488,5772,6320
15,8456,8392,8492,5740,6324
15,8424,8392,8484,5776,6320
15,8460,8396,8496,5776,6364
15,8440,8404,8500,5784,6336
10,8248,8216,8364,5556,6180
10,8296,8304,8420,5600,6232
10,8288,8296,8412,5600,6224
10,8328,8296,8420,5600,6224
10,8336,8300,8448,5600,6224
10,8332,8300,8448,5600,6264
10,8340,8304,8452,5604,6236
10,8336,8344,8464,5644,6272
10,8336,8304,8456,5644,6268
10,8340,8348,8464,5644,6276
5,8152,8164,8300,5452,6124
5,8196,8208,8352,5468,6132
5,8204,8212,8352,5508,6140
5,8204,8216,8380,5512,6176
5,8204,8244,8364,5508,6176
5,8204,8244,8388,5508,6176
5,8240,8248,8388,5504,6176
5,8244,8256,8400,5516,6176
5,8240,8248,8388,5504,6176
5,8248,8256,8396,5512,6184
0,8144,8156,8248,5376,6080
0,8124,8132,8296,5420,6128
0,8120,8160,8308,5464,6128
0,8156,8168,8332,5416,6128
0,8156,8168,8336,5420,6128
0,8160,8172,8340,5468,6132
0,8160,8172,8340,5468,6132
0,8168,8176,8344,5460,6172
0,8168,8184,8348,5472,6180
0,8164,8176,8340,5456,6168
-5,8096,8136,8300,5384,6136
-5,8132,8168,8340,5424,6168
-5,8136,8176,8364,5420,6172
-5,8140,8208,8372,5460,6212
-5,8180,8220,8388,5464,6260
-5,8176,8216,8380,5468,6212
-5,8176,8212,8380,5460,6212
-5,8172,8212,8388,5468,6212
-5,8172,8212,8404,5460,6212
-5,8180,8220,8384,5464,6216
-10,7892,7960,8152,5272,6064
-10,7908,8008,8180,5332,6124
-10,7940,8012,8200,5324,6116
-10,7948,8020,8208,5336,6160
-10,7984,8024,8220,5372,6164
-10,7948,8024,8212,5368,6164
-10,7984,8024,8220,5332,6164
-10,7988,8028,8244,5368,6164
-10,7952,8052,8248,5380,6164
-10,7988,8024,8224,5368,6204
-15,7804,7912,8128,5284,6160
-15,7848,7948,8164,5280,6196
-15,7852,7952,8176,5332,6204
-15,7888,7956,8172,5324,6200
-15,7888,7956,8172,5332,6200
-15,7884,7984,8180,5336,6212
-15,7880,7980,8204,5328,6200
-15,7892,7992,8212,5332,6240
-15,7888,7992,8212,5328,6240
-15,7896,7996,8212,5368,6244
-20,7628,7764,8032,5200,6152
-20,7676,7804,8072,5244,6192
-20,7680,7808,8076,5244,6240
-20,7716,7844,8092,5248,6244
-20,7704,7840,8108,5280,6232
-20,7712,7844,8092,5284,6236
-20,7712,7840,8116,5284,6240
-20,7704,7836,8088,5280,6236
-20,7748,7852,8120,5284,6236
-20,7720,7856,8124,5288,6276
-25,7488,7648,7968,5136,6220
-25,7468,7628,7920,5148,6224
-25,7472,7632,7952,5196,6272
-25,7476,7636,7956,5196,6272
-25,7496,7664,7964,5192,6268
-25,7500,7664,7964,5192,6268
-25,7496,7668,7964,5192,6268
-25,7504,7664,7964,5192,6268
-25,7512,7672,7972,5192,6316
-25,7512,7672,7996,5200,6316
-30,7212,7432,7732,5056,6220
-30,7220,7408,7780,5060,6264
-30,7216,7412,7784,5052,6300
-30,7220,7420,7792,5100,6304
-30,7220,7416,7796,5100,6304
-30,7224,7448,7820,5104,6300
-30,7220,7448,7820,5100,6308
-30,7256,7460,7804,5104,6312
-30,7256,7452,7804,5100,6304
-30,7228,7456,7832,5104,6348
-35,6996,7192,7564,4916,6080
-35,7012,7232,7588,4924,6124
-35,7020,7240,7620,4968,6168
-35,7020,7244,7616,4968,6172
-35,7020,7240,7616,4968,6164
-35,7056,7252,7620,4968,6172
-35,7052,7272,7628,4968,6164
-35,7052,7272,7624,4968,6164
-35,7052,7248,7652,4960,6204
-35,7060,7280,7656,4968,6208
-40,6672,6928,7352,4768,6132
-40,6700,6948,7384,4832,6152
-40,6728,6960,7408,4828,6196
-40,6704,6956,7412,4836,6200
-40,6708,6956,7412,4828,6236
-40,6736,6960,7416,4872,6236
-40,6736,6988,7424,4832,6192
-40,6724,6988,7436,4828,6192
-40,6740,6992,7444,4836,6200
-40,6736,7016,7448,4872,6200
-45,6436,6716,7196,4684,6164
-45,6484,6732,7248,4732,6224
-45,6488,6740,7248,4736,6224
-45,6484,6772,7252,4740,6228
-45,6496,6776,7252,4744,6228
-45,6500,6780,7268,4784,6276
-45,6492,6776,7284,4740,6268
-45,6496,6784,7264,4744,6272
-45,6504,6788,7292,4792,6272
-45,6536,6788,7272,4784,6276
