Deg,DN2,DN3,DN4,BUMP1,BUMP2
5,7340,7412,7756,4684,5276
5,7332,7404,7724,4644,5236
5,7336,7412,7760,4652,5240
5,7372,7412,7764,4652,5240
5,7372,7408,7756,4648,5236
5,7380,7420,7792,4652,5280
5,7372,7416,7764,4656,5240
5,7376,7416,7768,4656,5280
5,7380,7448,7768,4648,5276
5,7380,7420,7768,4692,5276
5.5,8632,8732,9080,5372,6120
5.5,8628,8728,9080,5376,6080
5.5,8672,8744,9116,5376,6084
5.5,8672,8740,9112,5380,6080
5.5,8696,8796,9148,5412,6080
5.5,8668,8768,9120,5412,6084
5.5,8704,8776,9128,5424,6088
5.5,8668,8768,9128,5412,6124
5.5,8708,8780,9132,5412,6124
5.5,8712,8788,9132,5420,6128
6,10452,10580,10952,6412,7244
6,10476,10572,10952,6364,7200
6,10484,10612,10992,6408,7244
6,10492,10620,10992,6416,7244
6,10488,10620,11016,6416,7248
6,10520,10648,11032,6412,7244
6,10488,10648,11024,6412,7240
6,10524,10652,11032,6412,7248
6,10520,10648,11032,6452,7248
6,10520,10652,11028,6456,7244
6.5,12432,12688,13092,7504,8500
6.5,12452,12640,13044,7456,8412
6.5,12492,12688,13064,7496,8448
6.5,12496,12692,13088,7504,8452
6.5,12500,12696,13076,7548,8500
6.5,12528,12696,13092,7500,8452
6.5,12536,12724,13124,7504,8460
6.5,12524,12716,13092,7496,8452
6.5,12532,12720,13120,7504,8456
6.5,12572,12760,13164,7536,8532
7,14884,15148,15572,8768,9844
7,14976,15232,15660,8812,9932
7,15012,15268,15692,8816,9932
7,15048,15312,15708,8852,9968
7,15024,15308,15740,8860,9976
7,15056,15312,15736,8852,9976
7,15056,15312,15740,8852,10012
7,15052,15336,15740,8856,9972
7,15056,15340,15736,8896,9976
7,15060,15340,15768,8892,10016
7.5,17232,17524,17972,9908,11152
7.5,17312,17628,18084,9944,11228
7.5,17352,17676,18124,9988,11268
7.5,17392,17676,18152,9988,11272
7.5,17392,17712,18136,10024,11312
7.5,17428,17736,18192,10024,11276
7.5,17420,17704,18180,10024,11268
7.5,17396,17736,18172,10028,11312
7.5,17424,17740,18196,10028,11308
7.5,17424,17764,18172,10028,11308
8,19400,19776,20256,11080,12480
8,19328,19728,20164,10940,12304
8,19396,19772,20204,10940,12340
8,19404,19776,20264,10984,12348
8,19408,19808,20260,10984,12344
8,19432,19812,20260,10976,12376
8,19440,19816,20272,10980,12388
8,19476,19816,20292,10976,12384
8,19472,19848,20296,11016,12384
8,19476,19848,20308,11024,12392
8.5,21992,22460,22964,12060,13548
8.5,21988,22448,22964,12160,13652
8.5,22028,22524,23008,12160,13688
8.5,22064,22532,23040,12200,13724
8.5,22056,22560,23008,12196,13724
8.5,22132,22600,23080,12204,13724
8.5,22104,22568,23076,12244,13736
8.5,22132,22600,23080,12244,13732
8.5,22144,22604,23088,12244,13776
8.5,22140,22608,23088,12248,13776
9,24320,24816,25348,13116,14764
9,24492,25016,25524,13288,14936
9,24516,25008,25548,13240,14888
9,24524,25020,25556,13284,14940
9,24544,25048,25580,13280,14936
9,24548,25072,25604,13280,14928
9,24580,25084,25612,13280,14936
9,24592,25092,25656,13324,14980
9,24588,25112,25652,13280,14968
9,24596,25120,25656,13324,14980
9.5,27540,28092,28656,14440,16252
9.5,27692,28276,28836,14556,16372
9.5,27776,28332,28892,14604,16424
9.5,27800,28364,28920,14636,16452
9.5,27800,28380,28944,14636,16448
9.5,27836,28400,28960,14644,16456
9.5,27868,28432,28964,14676,16452
9.5,27856,28408,28972,14640,16580
9.5,27880,28412,28992,14680,16500
9.5,27848,28436,29020,14680,16496
10,30512,30888,31472,15560,17460
10,30456,31072,31684,15636,17576
10,30536,31128,31760,15680,17620
10,30544,31168,31808,15768,17748
10,30572,31184,31800,15720,17660
10,30576,31224,31832,15772,17672
10,30620,31204,31840,15768,17708
10,30612,31236,31872,15768,17708
10,30652,31260,31852,15768,17704
10,30652,31240,31848,15776,17708
