Deg,DN2,DN3,DN4,BUMP1,BUMP2
0.5,1212,1180,1328,548,560
0.5,1260,1228,1376,540,496
0.5,1252,1220,1376,540,496
0.5,1260,1220,1372,536,496
0.5,1252,1220,1392,536,492
0.5,1264,1224,1380,544,500
0.5,1252,1260,1400,532,492
0.5,1260,1228,1380,544,504
0.5,1248,1256,1396,532,488
0.5,1252,1260,1384,544,504
1,1200,1240,1384,684,696
1,1244,1252,1364,624,636
1,1248,1256,1372,628,640
1,1240,1252,1388,616,628
1,1244,1252,1372,628,640
1,1240,1252,1388,616,628
1,1240,1252,1392,628,640
1,1244,1252,1392,616,628
1,1244,1252,1392,632,644
1,1248,1260,1372,624,636
1.5,1496,1460,1608,860,916
1.5,1484,1452,1624,856,908
1.5,1480,1444,1620,844,896
1.5,1484,1452,1624,856,908
1.5,1476,1440,1616,844,896
1.5,1484,1452,1624,848,900
1.5,1484,1448,1628,852,904
1.5,1508,1444,1620,856,908
1.5,1484,1452,1624,848,900
1.5,1488,1456,1628,852,904
2,1876,1816,2044,1184,1276
2,1904,1868,2052,1168,1260
2,1908,1876,2048,1164,1256
2,1908,1876,2048,1164,1256
2,1908,1876,2052,1164,1264
2,1908,1876,2056,1164,1304
2,1912,1880,2052,1172,1264
2,1908,1876,2056,1212,1264
2,1912,1880,2076,1168,1264
2,1912,1880,2060,1208,1300
2.5,2376,2316,2544,1536,1628
2.5,2372,2312,2544,1488,1664
2.5,2372,2308,2540,1524,1664
2.5,2376,2312,2540,1484,1660
2.5,2372,2312,2544,1484,1664
2.5,2372,2312,2544,1532,1664
2.5,2380,2316,2544,1532,1664
2.5,2376,2344,2540,1520,1660
2.5,2376,2312,2544,1528,1660
2.5,2380,2348,2552,1492,1664
3,2992,2928,3188,1932,2104
3,3000,2936,3192,1940,2112
3,2996,2936,3188,1936,2108
3,2996,2932,3196,1936,2116
3,3004,2940,3196,1936,2148
3,3004,2940,3196,1936,2148
3,3004,2968,3200,1936,2116
3,3008,2976,3200,1936,2148
3,3008,2976,3208,1940,2160
3,3012,2976,3204,1940,2152
3.5,3824,3788,4048,2492,2828
3.5,3876,3840,4120,2472,2768
3.5,3876,3844,4120,2472,2780
3.5,3908,3844,4124,2484,2780
3.5,3908,3876,4132,2524,2776
3.5,3912,3852,4136,2520,2820
3.5,3920,3888,4136,2480,2816
3.5,3916,3880,4140,2516,2816
3.5,3916,3884,4136,2528,2788
3.5,3912,3880,4128,2484,2780
4,4860,4872,5140,3072,3452
4,4900,4864,5172,3112,3488
4,4904,4872,5180,3108,3492
4,4904,4872,5172,3108,3484
4,4904,4872,5176,3112,3500
4,4904,4872,5180,3116,3500
4,4908,4872,5184,3112,3528
4,4900,4908,5176,3108,3492
4,4904,4872,5180,3108,3532
4,4912,4876,5180,3112,3532
4.5,5720,5732,6004,3612,4040
4.5,5720,5728,6056,3608,4072
4.5,5764,5728,6056,3608,4072
4.5,5756,5768,6068,3652,4076
4.5,5764,5772,6068,3608,4112
4.5,5764,5776,6068,3616,4112
4.5,5764,5776,6068,3616,4112
4.5,5764,5772,6072,3652,4116
4.5,5768,5780,6072,3652,4116
4.5,5764,5772,6100,3652,4116
5,7344,7360,7708,4560,5144
5,7380,7388,7740,4560,5144
5,7392,7404,7756,4568,5184
5,7388,7428,7760,4608,5188
5,7424,7436,7760,4600,5188
5,7424,7432,7784,4596,5188
5,7432,7440,7768,4604,5188
5,7424,7432,7792,4604,5188
5,7424,7432,7780,4596,5188
5,7424,7464,7784,4600,5188
5.5,8708,8776,9120,5340,6012
5.5,8768,8808,9152,5376,6040
5.5,8768,8840,9164,5376,6048
5.5,8808,8848,9192,5372,6080
5.5,8808,8848,9196,5384,6084
5.5,8796,8864,9196,5368,6080
5.5,8800,8872,9196,5368,6080
5.5,8808,8876,9204,5372,6080
5.5,8808,8876,9224,5368,6080
5.5,8808,8876,9224,5376,6080
6,10284,10360,10732,6152,7148
6,10384,10456,10828,6284,7064
6,10420,10488,10836,6236,7064
6,10420,10520,10872,6284,7076
6,10412,10512,10844,6276,7068
6,10452,10524,10880,6276,7112
6,10452,10528,10872,6276,7108
6,10456,10528,10872,6276,7108
6,10456,10528,10872,6280,7108
6,10428,10528,10872,6320,7148
6.5,12124,12232,12608,7136,8092
6.5,12176,12308,12692,7180,8136
6.5,12180,12340,12692,7224,8140
6.5,12220,12356,12760,7272,8184
6.5,12220,12352,12736,7224,8180
