Deg,Baseline,Optimized ,Enhanced 
0,100,100,100
0,100,100,100
0,100,100,100
0,100,100,100
0,100,100,100
0,100,100,100
0,100,100,100
0,100,100,100
0,100,100,100
0,100,100,100
15,100,100,100
15,100,100,100
15,100,100,100
15,100,100,100
15,100,100,100
15,100,100,100
15,100,100,100
15,100,100,100
15,100,100,100
15,100,100,100
30,100,100,100
30,100,100,100
30,100,100,100
30,100,100,100
30,100,100,100
30,100,100,100
30,100,100,100
30,100,100,100
30,100,100,100
30,100,100,100
45,100,100,100
45,100,100,100
45,100,100,100
45,100,100,100
45,100,100,100
45,100,100,100
45,100,100,100
45,100,100,100
45,100,100,100
45,100,100,100
60,100,100,100
60,100,100,100
60,100,100,100
60,0,100,100
60,100,100,100
60,100,100,100
60,100,100,100
60,0,100,100
60,100,100,100
60,100,100,100
75,100,100,100
75,0,100,100
75,0,100,100
75,0,100,100
75,0,100,100
75,0,100,100
75,0,100,100
75,0,100,100
75,0,100,100
75,0,100,100
90,0,100,100
90,0,100,100
90,0,100,100
90,0,100,100
90,0,100,100
90,0,100,100
90,0,100,100
90,0,0,100
90,0,100,100
90,0,100,100
